opp,year,opp_avg,opp_league,league_average,multiplier
ARI,2015,96.74177501193020,NL,99.737702,1.03096828632409
ATL,2015,103.58845507344900,NL,99.737702,0.962826426258422
BAL,2015,104.84622261923100,AL,99.769584,0.951580147644729
BOS,2015,91.20920254204080,AL,99.769584,1.09385436139532
CHC,2015,93.66491111865110,NL,99.737702,1.06483528152454
CHW,2015,114.5688436753710,AL,99.769584,0.870826489989683
CIN,2015,99.07645710524690,NL,99.737702,1.00667408700384
CLE,2015,95.62623160078920,AL,99.769584,1.04332861736629
COL,2015,95.48364327617350,NL,99.737702,1.0445527482809
DET,2015,93.30345131184990,AL,99.769584,1.06930218118661
HOU,2015,96.0336269374248,AL,99.769584,1.03890259257843
KCR,2015,107.98332693345000,AL,99.769584,0.923935081769502
LAA,2015,105.64939956774500,AL,99.769584,0.944345963234985
LAD,2015,96.80049345499710,NL,99.737702,1.03034290880313
MIA,2015,102.66756298604900,NL,99.737702,0.97146264213511
MIL,2015,112.50583372481900,NL,99.737702,0.886511380769384
MIN,2015,116.56270834587600,AL,99.769584,0.855930558030225
NYM,2015,91.37961074590670,NL,99.737702,1.09146560360532
NYY,2015,90.4351817617824,AL,99.769584,1.10321649225857
OAK,2015,99.81225418187750,AL,99.769584,0.999572495559516
PHI,2015,111.45312682196600,NL,99.737702,0.894884736247193
PIT,2015,96.36140300929440,NL,99.737702,1.03503787704689
SDP,2015,106.85902376047500,NL,99.737702,0.933357787579667
SEA,2015,92.26051789092270,AL,99.769584,1.08138981094768
SFG,2015,94.55683411240790,NL,99.737702,1.05479104642435
STL,2015,99.08219707049360,NL,99.737702,1.00661576901691
TBR,2015,109.75368547685300,AL,99.769584,0.909031742911643
TEX,2015,95.83877200007620,AL,99.769584,1.0410148410491
TOR,2015,84.84129393303470,AL,99.769584,1.17595547374311
WSN,2015,93.32294185459550,NL,99.737702,1.06873722600172
ARI,2016,104.76126453623300,NL,99.855617,0.953173078256073
ATL,2016,111.64203105864300,NL,99.855617,0.894426732057106
BAL,2016,84.46713947634570,AL,100.021743,1.18414976072453
BOS,2016,84.31887655941440,AL,100.021743,1.18623192197682
CHC,2016,89.20896625718350,NL,99.855617,1.11934507471057
CHW,2016,113.1592454031860,AL,100.021743,0.883902527306743
CIN,2016,106.97113734397900,NL,99.855617,0.933481866972227
CLE,2016,96.85975309992770,AL,100.021743,1.0326450336582
COL,2016,94.73223656732780,NL,99.855617,1.05408275596904
DET,2016,92.84948490184200,AL,100.021743,1.07724607310143
HOU,2016,96.9196476160781,AL,100.021743,1.03200687848361
KCR,2016,118.47024052262600,AL,100.021743,0.844277369225881
LAA,2016,107.90570499361800,AL,100.021743,0.926936560081932
LAD,2016,83.85009429632470,NL,99.855617,1.19088258442635
MIA,2016,100.50520203730400,NL,99.855617,0.993536801835761
MIL,2016,107.75180044977200,NL,99.855617,0.926718779483849
MIN,2016,100.52104169121400,AL,100.021743,0.995032893782102
NYM,2016,89.69038684245340,NL,99.855617,1.11333689724633
NYY,2016,112.942507992128,AL,100.021743,0.885598742034057
OAK,2016,106.71744897389900,AL,100.021743,0.937257627142712
PHI,2016,114.44529760244000,NL,99.855617,0.872518304307079
PIT,2016,93.70336657695420,NL,99.855617,1.06565666365886
SDP,2016,116.77717937307300,NL,99.855617,0.85509529803753
SEA,2016,93.14537936013480,AL,100.021743,1.07382399091724
SFG,2016,104.44551771606500,NL,99.855617,0.956054593663439
STL,2016,89.31592026442110,NL,99.855617,1.1180046816332
TBR,2016,107.43350270052200,AL,100.021743,0.931010722779999
TEX,2016,99.23390014804690,AL,100.021743,1.00793925111053
TOR,2016,82.88323492232470,AL,100.021743,1.20677894744018
WSN,2016,85.45212450034180,NL,99.855617,1.16855628322735
ARI,2017,93.83821538232630,NL,99.903595,1.06463656190563
ATL,2017,104.9889435464020,NL,99.903595,0.951563008688106
BAL,2017,102.89542752904700,AL,100.170267,0.973515241692565
BOS,2017,97.00730111802610,AL,100.170267,1.03260544150306
CHC,2017,86.76956911290520,NL,99.903595,1.15136672938879
CHW,2017,117.60597791771500,AL,100.170267,0.851744688268192
CIN,2017,98.33923156112280,NL,99.903595,1.01590782655145
CLE,2017,87.25083977816510,AL,100.170267,1.14807223924357
COL,2017,104.4999542816970,NL,99.903595,0.956015681410666
DET,2017,93.4862411817012,AL,100.170267,1.07149742821842
HOU,2017,93.57823235030030,AL,100.170267,1.07044410312243
KCR,2017,119.0338073394480,AL,100.170267,0.841527875474444
LAA,2017,111.50055648014100,AL,100.170267,0.898383561142504
LAD,2017,86.06588339832300,NL,99.903595,1.16078045161791
MIA,2017,99.63768148317780,NL,99.903595,1.00266880474198
MIL,2017,93.89198142565900,NL,99.903595,1.06402691138328
MIN,2017,101.4555435353570,AL,100.170267,0.987331628311576
NYM,2017,97.56727100651630,NL,99.903595,1.02394577576458
NYY,2017,86.29646503246110,AL,100.170267,1.16076906466934
OAK,2017,92.46928633660950,AL,100.170267,1.08328149776518
PHI,2017,112.69829791545500,NL,99.903595,0.886469421880236
PIT,2017,106.4035178183870,NL,99.903595,0.938912519513863
SDP,2017,121.31082528627400,NL,99.903595,0.823534047882731
SEA,2017,103.41990480553900,AL,100.170267,0.968578217011036
SFG,2017,105.87804487362300,NL,99.903595,0.943572344193226
